"text,intent"
"hello,greeting"
"hi,greeting"
"hey,greeting"
"hello there,greeting"
"hi there,greeting"
"hey there,greeting"
"good morning,greeting"
"good afternoon,greeting"
"good evening,greeting"
"yo,greeting"
"what's up,greeting"
"whats up,greeting"
"how are you,greeting"
"how are you doing,greeting"
"how's it going,greeting"
"how are u,greeting"
"hii,greeting"
"helloo,greeting"
"heyy,greeting"
"yo bro,greeting"
"yo dude,greeting"
"hey bro,greeting"
"hi bro,greeting"
"hello bro,greeting"
"hey buddy,greeting"
"hi buddy,greeting"
"hello buddy,greeting"
"hey friend,greeting"
"hi friend,greeting"
"hello friend,greeting"
"hey chatbot,greeting"
"hi chatbot,greeting"
"hello chatbot,greeting"
"hey bot,greeting"
"hi bot,greeting"
"hello bot,greeting"
"hey ai,greeting"
"hi ai,greeting"
"hello ai,greeting"
"hey assistant,greeting"
"hi assistant,greeting"
"hello assistant,greeting"
"greetings,greeting"
"warm greetings,greeting"
"good day,greeting"
"nice to meet you,greeting"
"pleased to meet you,greeting"
"great to see you,greeting"
"good to see you,greeting"
"long time no see,greeting"
"hey again,greeting"
"hi again,greeting"
"hello again,greeting"
"hey once more,greeting"
"hi once more,greeting"
"hello once more,greeting"
"yo again,greeting"
"what's going on,greeting"
"whats going on,greeting"
"how you doing today,greeting"
"how r u today,greeting"
"how are things,greeting"
"how is everything,greeting"
"how's everything,greeting"
"hey what's up,greeting"
"hi what's up,greeting"
"hello what's up,greeting"
"yo what's up,greeting"
"hey what's going on,greeting"
"hi what's going on,greeting"
"hello what's going on,greeting"
"hey how is it going,greeting"
"hi how is it going,greeting"
"hello how is it going,greeting"
"hey there buddy,greeting"
"hi there buddy,greeting"
"hello there buddy,greeting"
"hey dude,greeting"
"hi dude,greeting"
"hello dude,greeting"
"yo dude what's up,greeting"
"yo bro what's up,greeting"
"hey bro what's up,greeting"
"hi bro what's up,greeting"
"hello bro what's up,greeting"
"hey mate,greeting"
"hi mate,greeting"
"hello mate,greeting"
"good morning bro,greeting"
"good morning buddy,greeting"
"good morning friend,greeting"
"good morning chatbot,greeting"
"good afternoon bro,greeting"
"good afternoon buddy,greeting"
"good afternoon friend,greeting"
"good evening bro,greeting"
"good evening buddy,greeting"
"good evening friend,greeting"
"hi there how are you,greeting"
"hello there how are you,greeting"
"hey there how are you,greeting"
"yo how are you,greeting"
"yo how r u,greeting"
"hey how r u doing,greeting"
"hi how r u doing,greeting"
"hello how r u doing,greeting"
"hey how are things going,greeting"
"hi how are things going,greeting"
"hello how are things going,greeting"
"hey nice to see you,greeting"
"hi nice to see you,greeting"
"hello nice to see you,greeting"
"hey long time no see,greeting"
"hi long time no see,greeting"
"hello long time no see,greeting"
"hey good to see you again,greeting"
"hi good to see you again,greeting"
"hello good to see you again,greeting"
"yo good to see you,greeting"
"yo nice to meet you,greeting"
"yo hello,greeting"
"yo hi,greeting"
"sup,greeting"
"sup bro,greeting"
"sup dude,greeting"
"sup buddy,greeting"
"sup man,greeting"
"hey man,greeting"
"hi man,greeting"
"hello man,greeting"
"hey pal,greeting"
"hi pal,greeting"
"hello pal,greeting"
"hey there man,greeting"
"hi there man,greeting"
"hello there man,greeting"
"hey there friend,greeting"
"hi there friend,greeting"
"hello there friend,greeting"
"hey there bro,greeting"
"hi there bro,greeting"
"hello there bro,greeting"
"hey there dude,greeting"
"hi there dude,greeting"
"hello there dude,greeting"
"hey hey,greeting"
"hi hi,greeting"
"hello hello,greeting"
"heyyyy,greeting"
"hiiii,greeting"
"helloooo,greeting"
"yooooo,greeting"
"heyyy there,greeting"
"hiiii there,greeting"
"helloooo there,greeting"
"yo hey,greeting"
"yo hi,greeting"
"yo hello,greeting"
"hey wassup,greeting"
"hi wassup,greeting"
"hello wassup,greeting"
"wassup,greeting"
"wassup bro,greeting"
"wassup dude,greeting"
"wassup buddy,greeting"
"hey howdy,greeting"
"hi howdy,greeting"
"hello howdy,greeting"
"howdy,greeting"
"howdy partner,greeting"
"greetings friend,greeting"
"greetings buddy,greeting"
"greetings bro,greeting"
"greetings dude,greeting"
"hey greetings,greeting"
"hi greetings,greeting"
"hello greetings,greeting"
"hey good day,greeting"
"hi good day,greeting"
"hello good day,greeting"
"good day mate,greeting"
"good day buddy,greeting"
"good day friend,greeting"
"hey good morning how are you,greeting"
"hi good morning how are you,greeting"
"hello good morning how are you,greeting"
"hey good evening how are you,greeting"
"hi good evening how are you,greeting"
"hello good evening how are you,greeting"
"hey good afternoon how are you,greeting"
"hi good afternoon how are you,greeting"
"hello good afternoon how are you,greeting"
"hey what's new,greeting"
"hi what's new,greeting"
"hello what's new,greeting"
"what's new,greeting"
"whats new,greeting"
"hey what's happening,greeting"
"hi what's happening,greeting"
"hello what's happening,greeting"
"what's happening,greeting"
"whats happening,greeting"
"hey how is life,greeting"
"hi how is life,greeting"
"hello how is life,greeting"
"how is life,greeting"
"hey how are things today,greeting"
"hi how are things today,greeting"
"hello how are things today,greeting"
"hey hope you are good,greeting"
"hi hope you are good,greeting"
"hello hope you are good,greeting"
"hey hope you're doing well,greeting"
"hi hope you're doing well,greeting"
"hello hope you're doing well,greeting"
"i feel stressed,depression"
"i am stressed,depression"
"i am very stressed,depression"
"i feel too much stress,depression"
"i am under stress,depression"
"i feel pressure,depression"
"i feel too much pressure,depression"
"i am under pressure,depression"
"everything feels stressful,depression"
"life is stressful,depression"
"i feel overwhelmed,depression"
"i am overwhelmed,depression"
"i feel mentally tired,depression"
"i am mentally tired,depression"
"i feel exhausted,depression"
"i am exhausted,depression"
"i feel drained,depression"
"i feel burnt out,depression"
"i am burnt out,depression"
"i have burnout,depression"
"i feel low,depression"
"i feel very low,depression"
"i feel down,depression"
"i am feeling down,depression"
"i feel sad,depression"
"i am sad,depression"
"i feel very sad,depression"
"i feel unhappy,depression"
"i am unhappy,depression"
"i feel depressed,depression"
"i am depressed,depression"
"i feel very depressed,depression"
"i feel empty,depression"
"i feel numb,depression"
"i feel hopeless,depression"
"i feel helpless,depression"
"i feel worthless,depression"
"i feel useless,depression"
"i feel lost,depression"
"i feel broken,depression"
"i am not okay,depression"
"i am not fine,depression"
"i am not feeling good,depression"
"i feel terrible,depression"
"i feel really bad,depression"
"i feel bad,depression"
"i feel weak,depression"
"i feel mentally weak,depression"
"i feel like crying,depression"
"i want to cry,depression"
"i feel like giving up,depression"
"i want to give up,depression"
"i feel no motivation,depression"
"i have no motivation,depression"
"i feel no energy,depression"
"i have no energy,depression"
"i feel lazy all the time,depression"
"i feel tired all day,depression"
"i feel sleepy always,depression"
"i feel exhausted daily,depression"
"i feel drained every day,depression"
"i feel alone,depression"
"i feel lonely,depression"
"i feel very lonely,depression"
"i have no one,depression"
"no one understands me,depression"
"i feel ignored,depression"
"i feel disconnected,depression"
"i feel isolated,depression"
"i feel socially isolated,depression"
"i feel distant from everyone,depression"
"i feel like nobody cares,depression"
"i feel like no one cares,depression"
"i feel unwanted,depression"
"i feel rejected,depression"
"i feel negative,depression"
"i think negative,depression"
"i always think negative,depression"
"i feel hopeless about life,depression"
"life feels meaningless,depression"
"life has no meaning,depression"
"i feel like life is pointless,depression"
"i feel life is useless,depression"
"i feel like quitting everything,depression"
"i want to stop everything,depression"
"i feel stuck in life,depression"
"i feel trapped,depression"
"i feel stuck,depression"
"i feel confused,depression"
"i feel lost in life,depression"
"i don't know what to do,depression"
"i feel directionless,depression"
"i feel empty inside,depression"
"i feel blank,depression"
"i feel numb inside,depression"
"i feel no emotions,depression"
"i feel nothing,depression"
"i feel emotionally drained,depression"
"i feel emotionally tired,depression"
"i feel emotionally exhausted,depression"
"i feel emotionally weak,depression"
"i feel emotionally unstable,depression"
"i feel mentally exhausted,depression"
"i feel mentally drained,depression"
"i feel mentally weak,depression"
"i feel mentally unstable,depression"
"i feel mentally down,depression"
"i feel mentally broken,depression"
"i feel mentally low,depression"
"i feel mentally stressed,depression"
"i feel stress all the time,depression"
"i feel stress everyday,depression"
"i feel stress constantly,depression"
"i am always stressed,depression"
"i am stressed daily,depression"
"i am stressed all the time,depression"
"i feel pressure all the time,depression"
"i feel pressure everyday,depression"
"i feel pressure constantly,depression"
"i feel overwhelmed all the time,depression"
"i feel overwhelmed daily,depression"
"i feel overwhelmed constantly,depression"
"i feel tired of everything,depression"
"i am tired of everything,depression"
"i am tired of life,depression"
"i feel tired of life,depression"
"i feel like nothing matters,depression"
"nothing matters to me,depression"
"i don't care about anything,depression"
"i lost interest in everything,depression"
"i lost interest in life,depression"
"i don't enjoy anything,depression"
"i feel bored with life,depression"
"i feel uninterested in everything,depression"
"i feel dull,depression"
"i feel blank all the time,depression"
"i feel empty all the time,depression"
"i feel down all the time,depression"
"i feel sad all the time,depression"
"i feel depressed all the time,depression"
"i feel low all the time,depression"
"i feel hopeless all the time,depression"
"i feel negative all the time,depression"
"i feel lonely all the time,depression"
"i feel alone all the time,depression"
"i feel stressed about studies,depression"
"i feel stressed about exams,depression"
"i feel stressed about work,depression"
"i feel stressed about career,depression"
"i feel stressed about future,depression"
"i feel stressed about life,depression"
"i feel stressed about everything,depression"
"studies are stressing me,depression"
"exams are stressing me,depression"
"work is stressing me,depression"
"life is stressing me,depression"
"everything is stressing me,depression"
"i feel too much burden,depression"
"i feel burdened,depression"
"i feel heavy inside,depression"
"i feel pressure inside,depression"
"i feel stress inside,depression"
"i feel pain inside,depression"
"i feel emotional pain,depression"
"i feel mental pain,depression"
"i feel inner pain,depression"
"i feel heartbroken,depression"
"i feel broken inside,depression"
"i feel shattered,depression"
"i feel crushed,depression"
"i feel defeated,depression"
"i feel like a failure,depression"
"i think i am a failure,depression"
"i feel like i failed,depression"
"i feel like i am useless,depression"
"i feel like i am nothing,depression"
"i feel like i am nobody,depression"
"i feel like i am not enough,depression"
"i feel like i am weak,depression"
"i feel like i am lost,depression"
"i feel like i am broken,depression"
"i feel like i am tired,depression"
"i feel like i am done,depression"
"i feel like i can't continue,depression"
"i feel like i can't handle this,depression"
"i feel like i can't manage,depression"
"i feel like i can't cope,depression"
"i feel like i can't deal with this,depression"
"i feel like i can't take it anymore,depression"
"i can't handle stress,depression"
"i can't handle pressure,depression"
"i can't handle life,depression"
"i can't manage stress,depression"
"i can't manage life,depression"
"i can't deal with stress,depression"
"i can't deal with pressure,depression"
"i can't deal with life,depression"
"i feel very stressed today,depression"
"i feel very low today,depression"
"i feel very sad today,depression"
"i feel very depressed today,depression"
"i feel very tired today,depression"
"i feel very overwhelmed today,depression"
"i feel very lonely today,depression"
"i feel very empty today,depression"
"i feel very hopeless today,depression"
"i feel very negative today,depression"
"i am not feeling okay today,depression"
"i am not feeling good today,depression"
"i am not fine today,depression"
"i am not okay today,depression"
"i feel anxious,anxiety"
"i am anxious,anxiety"
"i feel very anxious,anxiety"
"i am very anxious,anxiety"
"i feel anxiety,anxiety"
"i have anxiety,anxiety"
"i feel nervous,anxiety"
"i am nervous,anxiety"
"i feel very nervous,anxiety"
"i am very nervous,anxiety"
"i feel panic,anxiety"
"i have panic,anxiety"
"i feel panic attack,anxiety"
"i have panic attacks,anxiety"
"i get panic attacks,anxiety"
"i feel worried,anxiety"
"i am worried,anxiety"
"i feel very worried,anxiety"
"i am very worried,anxiety"
"i feel fear,anxiety"
"i feel scared,anxiety"
"i am scared,anxiety"
"i feel uneasy,anxiety"
"i am uneasy,anxiety"
"i feel restless,anxiety"
"i am restless,anxiety"
"i feel tension,anxiety"
"i feel stressed and anxious,anxiety"
"i feel anxiety all the time,anxiety"
"i am anxious all the time,anxiety"
"i feel nervous all the time,anxiety"
"i feel worried all the time,anxiety"
"i feel panic all the time,anxiety"
"i feel anxious everyday,anxiety"
"i am anxious everyday,anxiety"
"i feel nervous everyday,anxiety"
"i feel worried everyday,anxiety"
"i feel panic everyday,anxiety"
"i feel anxious constantly,anxiety"
"i feel nervous constantly,anxiety"
"i feel worried constantly,anxiety"
"i feel panic constantly,anxiety"
"i feel anxious right now,anxiety"
"i feel nervous right now,anxiety"
"i feel worried right now,anxiety"
"i feel panic right now,anxiety"
"i feel anxious today,anxiety"
"i feel nervous today,anxiety"
"i feel worried today,anxiety"
"i feel panic today,anxiety"
"i feel anxious at night,anxiety"
"i feel nervous at night,anxiety"
"i feel worried at night,anxiety"
"i feel panic at night,anxiety"
"i feel anxiety at night,anxiety"
"i feel anxious in exams,anxiety"
"i feel nervous in exams,anxiety"
"i feel panic in exams,anxiety"
"i feel worried about exams,anxiety"
"i feel anxious about studies,anxiety"
"i feel nervous about studies,anxiety"
"i feel anxious about work,anxiety"
"i feel nervous about work,anxiety"
"i feel anxious about future,anxiety"
"i feel worried about future,anxiety"
"i feel anxious about life,anxiety"
"i feel worried about life,anxiety"
"i feel anxious about everything,anxiety"
"i feel worried about everything,anxiety"
"i feel anxious in public,anxiety"
"i feel nervous in public,anxiety"
"i feel anxious in crowd,anxiety"
"i feel nervous in crowd,anxiety"
"i feel social anxiety,anxiety"
"i have social anxiety,anxiety"
"i feel anxious around people,anxiety"
"i feel nervous around people,anxiety"
"i feel anxious when talking,anxiety"
"i feel nervous when talking,anxiety"
"i feel anxious while speaking,anxiety"
"i feel nervous while speaking,anxiety"
"i feel anxious during presentation,anxiety"
"i feel nervous during presentation,anxiety"
"i feel anxious in interviews,anxiety"
"i feel nervous in interviews,anxiety"
"i feel anxious before exams,anxiety"
"i feel nervous before exams,anxiety"
"i feel panic before exams,anxiety"
"i feel anxious before sleep,anxiety"
"i feel nervous before sleep,anxiety"
"i feel anxious while sleeping,anxiety"
"i feel panic while sleeping,anxiety"
"i feel anxiety symptoms,anxiety"
"i have anxiety symptoms,anxiety"
"i feel my heart racing,anxiety"
"my heart is beating fast,anxiety"
"i feel sweating,anxiety"
"i feel breathless,anxiety"
"i feel shortness of breath,anxiety"
"i feel dizzy,anxiety"
"i feel lightheaded,anxiety"
"i feel shaky,anxiety"
"i feel trembling,anxiety"
"i feel chest tightness,anxiety"
"i feel chest pain,anxiety"
"i feel suffocated,anxiety"
"i feel choking,anxiety"
"i feel uneasy inside,anxiety"
"i feel something is wrong,anxiety"
"i feel something bad will happen,anxiety"
"i feel like losing control,anxiety"
"i feel like fainting,anxiety"
"i feel like i will die,anxiety"
"i feel like i am in danger,anxiety"
"i feel like something is not right,anxiety"
"i feel overthinking,anxiety"
"i overthink everything,anxiety"
"i think too much,anxiety"
"i cannot stop thinking,anxiety"
"i keep thinking negative,anxiety"
"i keep worrying,anxiety"
"i cannot relax,anxiety"
"i can't relax,anxiety"
"i cannot calm down,anxiety"
"i can't calm down,anxiety"
"i feel uneasy all the time,anxiety"
"i feel restless all the time,anxiety"
"i feel tension all the time,anxiety"
"i feel panic all the time,anxiety"
"i feel fear all the time,anxiety"
"i feel scared all the time,anxiety"
"i feel anxious and stressed,anxiety"
"i feel nervous and stressed,anxiety"
"i feel worried and stressed,anxiety"
"i feel panic and stress,anxiety"
"i feel anxious and tired,anxiety"
"i feel nervous and tired,anxiety"
"i feel worried and tired,anxiety"
"i feel panic and tired,anxiety"
"i feel anxious and weak,anxiety"
"i feel nervous and weak,anxiety"
"i feel worried and weak,anxiety"
"i feel panic and weak,anxiety"
"i feel anxious without reason,anxiety"
"i feel nervous without reason,anxiety"
"i feel worried without reason,anxiety"
"i feel panic without reason,anxiety"
"i feel anxiety suddenly,anxiety"
"i feel panic suddenly,anxiety"
"i get sudden anxiety,anxiety"
"i get sudden panic,anxiety"
"i get anxiety attacks,anxiety"
"i get panic attacks frequently,anxiety"
"i feel anxiety attacks frequently,anxiety"
"i feel panic attacks frequently,anxiety"
"i feel anxiety episodes,anxiety"
"i feel panic episodes,anxiety"
"i feel constant anxiety,anxiety"
"i feel constant panic,anxiety"
"i feel continuous anxiety,anxiety"
"i feel continuous panic,anxiety"
"i feel anxiety all day,anxiety"
"i feel panic all day,anxiety"
"i feel nervous all day,anxiety"
"i feel worried all day,anxiety"
"i feel anxious whole day,anxiety"
"i feel nervous whole day,anxiety"
"i feel worried whole day,anxiety"
"i feel panic whole day,anxiety"
"i feel anxious lately,anxiety"
"i feel nervous lately,anxiety"
"i feel worried lately,anxiety"
"i feel panic lately,anxiety"
"i feel anxious these days,anxiety"
"i feel nervous these days,anxiety"
"i feel worried these days,anxiety"
"i feel panic these days,anxiety"
"i am feeling anxious these days,anxiety"
"i am feeling nervous these days,anxiety"
"i am feeling worried these days,anxiety"
"i am feeling panic these days,anxiety"
"i feel anxious more often,anxiety"
"i feel nervous more often,anxiety"
"i feel worried more often,anxiety"
"i feel panic more often,anxiety"
"i feel anxiety increasing,anxiety"
"my anxiety is increasing,anxiety"
"i feel panic increasing,anxiety"
"my panic is increasing,anxiety"
"i feel anxiety getting worse,anxiety"
"my anxiety is getting worse,anxiety"
"i feel panic getting worse,anxiety"
"my panic is getting worse,anxiety"
"lifestyle,i want a better routine"
"lifestyle,how to improve my daily routine"
"lifestyle,my lifestyle is unhealthy"
"lifestyle,i need to fix my habits"
"lifestyle,how to live a healthy life"
"lifestyle,give me lifestyle advice"
"lifestyle,how to improve my lifestyle"
"lifestyle,i have bad daily habits"
"lifestyle,i feel lazy all day"
"lifestyle,how to stop laziness"
"lifestyle,i want to wake up early"
"lifestyle,i sleep very late"
"lifestyle,my sleep schedule is bad"
"lifestyle,i use phone too much"
"lifestyle,how to reduce screen time"
"lifestyle,i waste time on mobile"
"lifestyle,i am addicted to social media"
"lifestyle,i don't exercise"
"lifestyle,i never workout"
"lifestyle,how to start exercising"
"lifestyle,i eat unhealthy food"
"lifestyle,my diet is poor"
"lifestyle,i skip meals"
"lifestyle,i don't drink enough water"
"lifestyle,how to stay hydrated"
"lifestyle,i sit all day"
"lifestyle,i have no physical activity"
"lifestyle,how to stay active"
"lifestyle,i feel tired always"
"lifestyle,i lack energy"
"lifestyle,i have no motivation"
"lifestyle,how to stay motivated daily"
"lifestyle,i want discipline"
"lifestyle,how to build discipline"
"lifestyle,i procrastinate a lot"
"lifestyle,how to stop procrastination"
"lifestyle,i waste time"
"lifestyle,i am not productive"
"lifestyle,how to be productive"
"lifestyle,i feel unorganized"
"lifestyle,my life is messy"
"lifestyle,i need structure in life"
"lifestyle,how to manage time"
"lifestyle,time management tips"
"lifestyle,i can't manage time"
"lifestyle,my routine is inconsistent"
"lifestyle,i break habits easily"
"lifestyle,how to build habits"
"lifestyle,i want good habits"
"lifestyle,i can't stay consistent"
"lifestyle,i feel burnt out"
"lifestyle,i feel exhausted"
"lifestyle,how to balance life"
"lifestyle,i want work life balance"
"lifestyle,i study all day no rest"
"lifestyle,i don't take breaks"
"lifestyle,how to relax"
"lifestyle,i feel overloaded"
"lifestyle,too much workload"
"lifestyle,how to handle busy life"
"lifestyle,i feel unhealthy"
"lifestyle,i want to be fit"
"lifestyle,how to stay fit"
"lifestyle,i don't go outside"
"lifestyle,i stay indoors all day"
"lifestyle,how to go out more"
"lifestyle,i feel socially inactive"
"lifestyle,i don't meet people"
"lifestyle,i feel isolated"
"lifestyle,how to improve social life"
"lifestyle,i don't talk to anyone"
"lifestyle,how to improve communication"
"lifestyle,i want confidence"
"lifestyle,how to build confidence"
"lifestyle,i feel insecure"
"lifestyle,how to improve self care"
"lifestyle,i ignore my health"
"lifestyle,i don't take care of myself"
"lifestyle,self care tips"
"lifestyle,i feel low energy"
"lifestyle,i feel sleepy all day"
"lifestyle,i sleep too much"
"lifestyle,i sleep too less"
"lifestyle,i wake up tired"
"lifestyle,i feel lazy always"
"lifestyle,i eat junk food daily"
"lifestyle,how to stop junk food"
"lifestyle,i drink too much coffee"
"lifestyle,i drink alcohol often"
"lifestyle,how to reduce bad habits"
"lifestyle,i want healthy habits"
"lifestyle,how to improve mental health lifestyle"
"lifestyle,how to stay calm daily"
"lifestyle,i feel stressed daily"
"lifestyle,how to manage stress lifestyle"
"lifestyle,i feel anxious daily"
"lifestyle,how to calm mind"
"lifestyle,i overthink a lot"
"lifestyle,how to stop overthinking"
"lifestyle,i want peace of mind"
"lifestyle,how to feel peaceful"
"lifestyle,i want simple life"
"lifestyle,how to simplify life"
"lifestyle,i am always busy"
"lifestyle,i never rest"
"lifestyle,how to take breaks"
"lifestyle,i don't enjoy life"
"lifestyle,how to enjoy life"
"lifestyle,i feel bored always"
"lifestyle,how to make life interesting"
"lifestyle,i have no hobbies"
"lifestyle,how to find hobbies"
"lifestyle,i want new activities"
"lifestyle,what hobbies should i try"
"lifestyle,i feel stuck in life"
"lifestyle,how to improve lifestyle habits"
"lifestyle,i want daily routine plan"
"lifestyle,give me routine plan"
"lifestyle,how to start day well"
"lifestyle,morning routine tips"
"lifestyle,night routine tips"
"lifestyle,i sleep late at night"
"lifestyle,i use phone before sleep"
"lifestyle,how to sleep early"
"lifestyle,i wake up late"
"lifestyle,how to wake early"
"lifestyle,i skip breakfast"
"lifestyle,healthy breakfast ideas"
"lifestyle,i eat at random times"
"lifestyle,how to eat properly"
"lifestyle,i don't track health"
"lifestyle,how to monitor health"
"lifestyle,i want fitness routine"
"lifestyle,home workout ideas"
"lifestyle,i don't go gym"
"lifestyle,how to exercise at home"
"lifestyle,i feel weak"
"lifestyle,how to gain strength"
"lifestyle,i want stamina"
"lifestyle,how to increase stamina"
"lifestyle,i feel unhealthy lifestyle"
"lifestyle,i don't follow schedule"
"lifestyle,how to follow routine"
"lifestyle,i break routine daily"
"lifestyle,how to stay consistent routine"
"lifestyle,i feel distracted"
"lifestyle,how to focus better"
"lifestyle,i can't focus on tasks"
"lifestyle,focus improvement tips"
"lifestyle,i waste time on reels"
"lifestyle,reduce social media usage"
"lifestyle,i scroll too much"
"lifestyle,i feel addicted to phone"
"lifestyle,how to detox from phone"
"lifestyle,digital detox tips"
"lifestyle,i feel mentally tired"
"lifestyle,how to refresh mind"
"lifestyle,i need relaxation tips"
"lifestyle,i don't go outside much"
"lifestyle,importance of sunlight"
"lifestyle,i don't walk"
"lifestyle,benefits of walking"
"lifestyle,i feel stiff body"
"lifestyle,stretching importance"
"lifestyle,i don't stretch"
"lifestyle,yoga benefits"
"lifestyle,i want to start yoga"
"lifestyle,i feel negative"
"lifestyle,how to stay positive"
"lifestyle,i think too much"
"lifestyle,how to calm thoughts"
"lifestyle,i can't control habits"
"lifestyle,habit control tips"
"lifestyle,i feel lazy to start"
"lifestyle,how to start anything"
